id,user1,listPV,user2,listArea,user3,listBudget,user4,listRoom,user5,listSquare,user6,listAge,user7,listTag,user8,detail,user9,appointment,agent,listPV0,listArea0,listBudget0,listRoom0,listSquare0,listAge0,listTag0,detail0,appointment0,tag
1,71722,3,205256,1,291492,1,291492,1,220564,2,697252,1,291492,1,2440,8,128930,9,3056996,0,0,0,0,0,0,0,0,0,0
2,121985,1,220564,1,385043,1,385043,21,291492,1,944631,16,653255,1,128930,129,220564,1,3051448,0,0,0,0,0,0,0,0,0,0
3,168007,1,385043,5,411360,1,411360,1,385043,3,1592111,1,944631,1,168007,33,222853,1,1901127,0,0,0,0,0,0,0,0,0,0
4,177207,3,397027,1,597304,7,436133,1,641758,1,1792347,2,976052,1,177207,50,224336,1,535142,0,0,0,0,0,0,0,0,0,0
5,177730,2,475761,2,653255,1,597304,8,651209,1,1883957,2,1174227,1,216965,2,256211,1,3087365,0,0,0,0,0,0,0,0,0,0
6,191741,4,527222,1,939891,1,653255,1,796768,1,1941674,1,1300037,1,220564,28,321516,1,3087350,0,0,0,0,0,0,0,0,0,0
7,205256,3,611299,1,1174227,1,754672,2,868035,1,1944003,2,1348454,1,222853,12,343646,1,3087031,0,0,0,0,0,0,0,0,0,0
8,216965,5,617344,1,1366129,1,976052,1,943484,1,1955846,2,1521476,1,224336,4,413444,1,3085832,0,0,0,0,0,0,0,0,0,0
9,220564,10,651209,1,1416822,1,1147182,2,976052,1,1997081,1,1592111,1,226139,15,436205,1,3085768,0,0,0,0,0,0,0,0,0,0
10,222853,3,655930,1,1590329,2,1174227,3,1300037,1,2042609,2,1729762,2,232229,3,500769,3,3084471,0,0,0,0,0,0,0,0,0,0
11,226139,6,718847,3,1594010,2,1366129,1,1368785,6,2334476,1,1763125,4,235033,6,532370,1,3083597,0,0,0,0,0,0,0,0,0,0
12,235033,1,734906,3,1603271,1,1383184,1,1383184,1,2379204,17,1783064,3,235596,3,548807,1,3083011,0,0,0,0,0,0,0,0,0,0
13,235596,8,868035,12,1764449,2,1521476,4,1416822,1,2396601,1,1786952,1,237837,45,622581,1,3082319,0,0,0,0,0,0,0,0,0,0
14,236749,3,944631,23,1786403,1,1590329,2,1521476,1,2421481,1,1800514,2,239249,8,641758,3,3082096,0,0,0,0,0,0,0,0,0,0
15,237837,6,1065358,1,1792347,3,1594010,3,1590329,2,2453774,1,1838822,2,240185,4,753550,1,3080369,0,0,0,0,0,0,0,0,0,0
